tariff_id,supplier,tariff_name,tariff_category,off_peak_start,off_peak_end,off_peak_hours,off_peak_min_p_per_kwh,off_peak_max_p_per_kwh,default_off_peak_p_per_kwh,peak_p_per_kwh,standing_charge_p_per_day,standing_charge_source,standing_charge_scope,exit_fee_gbp_per_fuel,requires_smart_meter,requires_compatible_car_or_charger,applies_to_whole_home,fixed_or_variable,source_name,source_url,source_date,secondary_source_name,secondary_source_value_note,notes
scottish-power-ev-optimise,Scottish Power,EV Optimise,smart_charging_add_on,Anytime,Anytime,24,9,9,9,,0,Underlying tariff,Add-on has no separate standing charge; existing household tariff still applies,0,true,true,false,variable,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,,,"Existing customers only; add-on EV charging rate applies to compatible smart charging rather than the whole home."
edf-goelectric-smart,EDF Energy,GoElectric 12m with smart charging bolt-on,time_of_use,23:00,06:00,7,6.99,6.99,6.99,29.75,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,75,true,true,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,Ofgem,Electricity standing charge average 57.21p/day for 1 Apr to 30 Jun 2026,"MSE notes 6.49p/kWh is available with a qualifying Pod Point charger and EDF smart charging terms."
ovo-charge-anytime,OVO,Charge Anytime,smart_charging_add_on,Anytime,Anytime,24,14,14,14,,0,Underlying tariff,Add-on has no separate standing charge; existing household tariff still applies,0,true,true,false,variable,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,User supplied transcript,Transcript also cites OVO Charge Anytime at about 14p/kWh,"Existing OVO customers only; smart charging add-on for compatible EVs and chargers."
eon-next-drive-smart,E.ON Next,Next Drive Smart v6.5,time_of_use,00:00,06:00,6,8,8,8,27.94,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,0,true,true,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,,,"MSE notes tariff availability and compatibility should be checked on the supplier website."
edf-goelectric,EDF Energy,GoElectric 12m,time_of_use,23:00,06:00,7,6.99,6.99,6.99,29.75,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,75,true,false,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,User supplied transcript,Transcript cites EDF GoElectric at about 6.99p/kWh from 11pm to 6am,"New and existing EDF customers may have promotional credits; check supplier terms."
eon-next-drive,E.ON Next,Next Drive v23,time_of_use,00:00,06:00,6,9,9,9,29.44,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,0,true,false,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,User supplied transcript,Transcript cites E.ON Next Drive at about 9p/kWh from midnight to 6am,"Fixed dual-fuel or electricity-only tariff."
utility-warehouse-variable-ev,Utility Warehouse,Variable rate EV tariff,time_of_use,00:00,05:00,5,7,8.5,8.5,31.74,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,0,true,false,true,variable,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,,Off-peak rate varies from 7p to 8.5p depending on number of Utility Warehouse services,"Default uses the conservative 8.5p/kWh end of the MSE range."
intelligent-octopus-go,Octopus Energy,Intelligent Octopus Go,time_of_use,23:30,05:30,6,8,8,8,33.5,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,0,true,true,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,User supplied transcript,Transcript cites Intelligent Octopus Go at about 8p/kWh from 11:30pm to 5:30am,"Requires compatible car or charger; low rate can apply to whole-home usage during the off-peak window."
octopus-go,Octopus Energy,Octopus Go,time_of_use,00:30,05:30,5,9.5,9.5,9.5,33.5,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,0,true,false,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,,,"EV tariff for any car and charger; supplier eligibility still applies."
good-energy-smart-ev,Good Energy,Smart EV,time_of_use,00:00,05:00,5,9,9,9,32.62,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,75,true,false,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,,,"Fixed electricity-only tariff."
british-gas-ev-power,British Gas,EV Power Apr27 v1,time_of_use,00:00,05:00,5,9,9,9,30.64,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,50,true,false,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,User supplied transcript,Transcript describes British Gas overnight charging around 9p/kWh and a Hive credit that can reduce the effective rate,"MSE notes a Hive charger credit can apply depending on usage."
so-energy-so-bee-ev,So Energy,So Bee EV 12months,time_of_use,00:00,05:00,5,8.8,8.8,8.8,31.64,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,50,true,false,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,User supplied transcript,Transcript cites the tariff as So Bison EV with about 8.8p/kWh and about 50p/day standing charge,"Tariff naming differs across sources; both source notes are retained rather than silently merged."
scottish-power-ev-saver,Scottish Power,EV Saver May 27 v2,time_of_use,00:00,05:00,5,8.5,8.5,8.5,35.78,57.21,Ofgem average April-June 2026 price cap,MSE says peak and standing charges are similar to the April Price Cap; region-specific standing charge should be checked with supplier,50,true,false,true,fixed,MoneySavingExpert,https://www.moneysavingexpert.com/utilities/ev-energy-tariffs/,2026-04-30,,,"Fixed electricity-only tariff."
